"CITYID","ZIPCODE","CITY","STATE","AREACODE","POPULATION1990","POPULATION1980","COUNTRY","LATITUDE","LONGITUDE","POPULATIONCDF"
467,"94939","Larkspur","CA","415",11068,11064,"USA",37.93333,-122.5333,0.08594323
468,"95330","Lathrop","CA","209",6841,4112,"USA",37.81667,-121.2667,0.08598242
469,"90260","Lawndale","CA","310",27331,23460,"USA",33.9,-118.35,0.086139
470,"91945","Lemon Grove","CA","619",23984,20780,"USA",32.75,-117.0333,0.0862764
471,"93245","Lemoore","CA","209",13622,8832,"USA",36.3,-119.7833,0.08635444
472,"90304","Lennox","CA","310",22757,18445,"USA",33.93333,-118.35,0.08648482
473,"95648","Lincoln","CA","916",7248,4132,"USA",38.9,-121.2833,0.08652634
474,"95901","Linda","CA","916",13033,10225,"USA",39.11666,-121.5667,0.086601
475,"93247","Lindsay","CA","209",8338,6936,"USA",36.2,-119.0833,0.08664878
476,"95953","Live Oak","CA","916",15212,11482,"USA",39.28333,-121.6667,0.08673593
477,"94550","Livermore","CA","510",56741,48349,"USA",37.68333,-121.7833,0.08706099
478,"95334","Livingston","CA","209",7317,5326,"USA",37.38334,-120.7167,0.08710291
479,"95240","Lodi","CA","209",51874,35221,"USA",38.13334,-121.2667,0.08740009
480,"92354","Loma Linda","CA","714",18470,10694,"USA",34.05,-117.2667,0.08750591
481,"90717","Lomita","CA","213",19442,18807,"USA",33.78333,-118.3167,0.08761729
482,"93436","Lompoc","CA","805",37649,26267,"USA",34.63334,-120.4667,0.08783298
483,"90801","Long Beach","CA","310",429321,361498,"USA",33.78333,-118.1833,0.09029254
484,"95650","Loomis","CA","916",5705,3663,"USA",38.81667,-121.2,0.09032522
485,"90720","Los Alamitos","CA","310",11788,11529,"USA",33.8,-118.0667,0.09039275
486,"94022","Los Altos","CA","415",26599,25769,"USA",37.38334,-122.1167,0.09054514
487,"94022","Los Altos Hills","CA","415",7514,7421,"USA",37.36666,-122.1333,0.09058819
489,"93635","Los Banos","CA","209",14519,10341,"USA",37.06667,-120.85,0.09067137
490,"95030","Los Gatos","CA","408",27357,26906,"USA",37.23333,-121.9833,0.09082809
491,"91709","Los Serranos","CA","714",7099,,"USA",33.96667,-117.7167,0.09086876
492,"94903","Lucas Valley-Marinwood","CA","415",5982,6409,"USA",,,0.09090303
493,"90262","Lynwood","CA","310",61945,48289,"USA",33.93333,-118.2167,0.09125791
494,"93638","Madera","CA","209",29282,21732,"USA",36.95,-120.05,0.09142566
495,"","Madera Acres","","",5245,2173,"USA",,,0.09145571
496,"95954","Magalia","CA","916",8987,,"USA",39.81667,-121.5833,0.0915072
497,"90266","Manhattan Beach","CA","310",32063,31542,"USA",33.9,-118.4167,0.09169089
498,"95336","Manteca","CA","209",40773,24925,"USA",37.8,-121.2167,0.09192447
499,"92518","March AFB","CA","714",5523,3607,"USA",33.9,-117.2833,0.09195612
500,"93933","Marina","CA","408",26512,20647,"USA",36.68333,-121.8,0.092108
501,"90292","Marina Del Rey","CA","310",7431,6336,"USA",33.98333,-118.45,0.09215058
502,"94553","Martinez","CA","510",31808,22582,"USA",38.01667,-122.1333,0.0923328
503,"95901","Marysville","CA","916",12324,9898,"USA",39.15,-121.5833,0.0924034
504,"90270","Maywood","CA","213",27893,21810,"USA",33.98333,-118.1833,0.0925632
505,"93250","Mc Farland","CA","805",7005,5151,"USA",,,0.09260333
506,"95521","McKinleyville","CA","707",10749,7772,"USA",40.95,-124.1,0.09266491
507,"93640","Mendota","CA","209",6821,5038,"USA",36.75,-120.3833,0.09270399
508,"94025","Menlo Park","CA","415",28403,26438,"USA",37.45,-122.2,0.09286671
509,"92359","Mentone","CA","714",5675,,"USA",34.06667,-117.1333,0.09289923
510,"95340","Merced","CA","209",56155,36423,"USA",37.3,-120.4833,0.09322093
511,"94941","Mill Valley","CA","415",13038,12967,"USA",37.9,-122.5333,0.09329563
512,"94030","Millbrae","CA","415",20414,20058,"USA",37.6,-122.4,0.09341258
513,"95035","Milpitas","CA","408",50690,37820,"USA",37.43333,-121.9167,0.09370298
514,"91752","Mira Loma","CA","714",15786,7394,"USA",33.98333,-117.5167,0.09379341
515,"93641","Mira Monte","CA","209",7744,,"USA",,,0.09383778
516,"92690","Mission Viejo","CA","714",72820,48503,"USA",33.61666,-117.65,0.09425496
517,"95350","Modesto","CA","209",164746,106963,"USA",37.65,-121,0.09519879
518,"91016","Monrovia","CA","818",35733,30531,"USA",34.15,-118,0.0954035
519,"91763","Montclair","CA","714",28434,22628,"USA",34.06667,-117.7,0.09556639
520,"90640","Montebello","CA","213",59564,52929,"USA",34.01667,-118.1333,0.09590764
521,"93940","Monterey","CA","408",31954,27558,"USA",36.61666,-121.9167,0.0960907
522,"91754","Monterey Park","CA","818",60738,54338,"USA",34.06667,-118.1333,0.09643866
523,"93021","Moorpark","CA","805",25494,7798,"USA",34.28333,-118.8833,0.09658471
524,"94556","Moraga","CA","510",15987,15014,"USA",37.83333,-122.1333,0.0966763
525,"92552","Moreno Valley","CA","714",118779,28139,"USA",,,0.09735678
526,"95037","Morgan Hill","CA","408",23928,17060,"USA",37.13334,-121.65,0.09749386
