MANUFACTURERID,TRANSACTIONDATE,EMPLOYEE,AMOUNT,DESCRIPTION,REFERENCE
3,17-Oct-02,15293,6048.03,Automatic EOQ Inventory purchase,8604
3,15-Oct-02,22343,-8135.54,Automatic payment of bills,8018
3,6-Oct-02,89097,-11940.87,Automatic payment of bills,8581
3,26-Sep-02,15293,-8603.75,Automatic payment of bills,7993
3,25-Sep-02,22343,8135.54,Automatic EOQ Inventory purchase,8018
3,8-Sep-02,87295,-11184.16,Automatic payment of bills,8558
3,5-Sep-02,51512,11940.87,Automatic EOQ Inventory purchase,8581
3,5-Nov-02,88873,7394.36,Automatic EOQ Inventory purchase,8626
3,13-Aug-02,73735,-10781.83,Automatic payment of bills,7968
3,20-Nov-02,15293,-6048.03,Automatic payment of bills,8604
3,9-Aug-02,87295,-7649.94,Automatic payment of bills,8536
3,16-Jul-02,87295,7649.94,Automatic EOQ Inventory purchase,8536
3,14-Jul-02,29387,10781.83,Automatic EOQ Inventory purchase,7968
3,11-Jul-02,29387,-5159.98,Automatic payment of bills,8513
3,3-Jul-02,51512,-11564.62,Automatic payment of bills,7943
3,30-Jun-02,29387,-8594.7,Automatic payment of bills,7918
3,18-Jun-02,51512,5159.98,Automatic EOQ Inventory purchase,8513
3,12-Jun-02,87295,11564.62,Automatic EOQ Inventory purchase,7943
3,2-Sep-02,51512,8603.75,Automatic EOQ Inventory purchase,7993
3,30-Jan-03,89097,-12551.43,Automatic payment of bills,8093
3,7-Jun-02,22343,-7974.43,Automatic payment of bills,8491
3,1-Jun-03,29387,-16072.68,Automatic payment of bills,8770
3,10-May-03,88873,-13406.47,Automatic payment of bills,8744
3,7-May-03,51512,16072.68,Automatic EOQ Inventory purchase,8770
3,19-Apr-03,88873,-13848.08,Automatic payment of bills,8719
3,13-Apr-03,87295,13406.47,Automatic EOQ Inventory purchase,8744
3,18-Mar-03,29387,13848.08,Automatic EOQ Inventory purchase,8719
3,8-Mar-03,15293,-15898.3,Automatic payment of bills,8694
3,3-Nov-02,73735,10400.59,Automatic EOQ Inventory purchase,8043
3,2-Feb-03,73735,15898.3,Automatic EOQ Inventory purchase,8694
3,8-Jul-03,22343,-15464.71,Automatic payment of bills,8795
3,13-Jan-03,51512,-13041.06,Automatic payment of bills,8648
3,2-Jan-03,22343,16413.31,Automatic EOQ Inventory purchase,8670
3,2-Jan-03,88873,12551.43,Automatic EOQ Inventory purchase,8093
3,2-Jan-03,51512,-11701.97,Automatic payment of bills,8068
3,11-Dec-02,22343,13041.06,Automatic EOQ Inventory purchase,8648
3,8-Dec-02,51512,-7394.36,Automatic payment of bills,8626
3,3-Dec-02,87295,11701.97,Automatic EOQ Inventory purchase,8068
3,29-Nov-02,87295,-10400.59,Automatic payment of bills,8043
3,4-Feb-03,51512,-16413.31,Automatic payment of bills,8670
3,8-Jan-96,29387,-14809.38,Automatic payment of bills,418
3,14-Apr-96,88873,14627.02,Automatic EOQ Inventory purchase,486
3,12-Apr-96,87295,-16930.03,Automatic payment of bills,469
3,22-Mar-96,73735,-10816,Automatic payment of bills,452
3,13-Mar-96,22343,16930.03,Automatic EOQ Inventory purchase,469
3,5-Mar-96,29387,-14809.38,Automatic payment of bills,418
3,15-Feb-96,88873,10816,Automatic EOQ Inventory purchase,452
3,9-Feb-96,87295,-18256.96,Automatic payment of bills,435
3,5-Aug-95,29387,-18671.72,Automatic payment of bills,333
3,14-Jan-96,87295,18256.96,Automatic EOQ Inventory purchase,435
3,11-Jun-96,88873,18189.36,Automatic EOQ Inventory purchase,520
3,26-Dec-95,73735,-14604.76,Automatic payment of bills,401
3,9-Dec-95,88873,14809.38,Automatic EOQ Inventory purchase,418
3,18-Nov-95,88873,14604.76,Automatic EOQ Inventory purchase,401
3,16-Nov-95,88873,-17078.38,Automatic payment of bills,384
3,20-Oct-95,73735,17078.38,Automatic EOQ Inventory purchase,384
3,16-Oct-95,22343,-17629.1,Automatic payment of bills,367
3,17-Sep-95,22343,17629.1,Automatic EOQ Inventory purchase,367
3,21-Mar-97,15293,-17974.06,Automatic payment of bills,622
3,6-Feb-96,29387,14809.38,Automatic refund for overpayment,418
3,1-Nov-96,29387,-18723.18,Automatic payment of bills,588
3,10-Mar-97,29387,-11913.86,Automatic payment of bills,656
3,8-Mar-97,87295,11718.03,Automatic EOQ Inventory purchase,677
3,17-Feb-97,51512,17974.06,Automatic refund for overpayment,622
3,11-Feb-97,88873,11913.86,Automatic EOQ Inventory purchase,656
3,29-Jan-97,22343,-17332.01,Automatic payment of bills,639
3,15-Jan-97,29387,-17974.06,Automatic payment of bills,622
3,1-Jan-97,73735,17332.01,Automatic EOQ Inventory purchase,639
3,15-Dec-96,73735,17974.06,Automatic EOQ Inventory purchase,622
3,13-May-96,88873,-14627.02,Automatic payment of bills,486
3,14-Nov-96,29387,15626.5,Automatic EOQ Inventory purchase,605
3,16-May-96,29387,19892.74,Automatic EOQ Inventory purchase,503
3,7-Oct-96,51512,-21351.06,Automatic payment of bills,571
3,6-Sep-96,88873,-17379.06,Automatic payment of bills,554
3,6-Aug-96,87295,17379.06,Automatic EOQ Inventory purchase,554
3,28-Jul-96,89097,-16595.2,Automatic payment of bills,537
3,8-Jul-96,51512,-18189.36,Automatic payment of bills,520
3,2-Jul-96,73735,16595.2,Automatic EOQ Inventory purchase,537
3,13-Jun-96,88873,-19892.74,Automatic payment of bills,503
3,4-Aug-95,51512,17127.67,Automatic EOQ Inventory purchase,350
3,12-Dec-96,87295,-15626.5,Automatic payment of bills,605
3,7-Jul-94,89097,5182.36,Automatic EOQ Inventory purchase,81
3,8-Nov-94,73735,-7011.06,Automatic payment of bills,131
3,12-Oct-94,73735,-8114.17,Automatic payment of bills,113
3,11-Oct-94,51512,7011.06,Automatic EOQ Inventory purchase,131
3,3-Oct-94,87295,-605.5,Automatic payment of bills,223
3,14-Sep-94,15293,8114.17,Automatic EOQ Inventory purchase,113
3,6-Sep-94,88873,-8397.43,Automatic payment of bills,96
3,1-Sep-94,51512,605.5,Automatic EOQ Inventory purchase,223
3,10-Sep-95,51512,-17127.67,Automatic payment of bills,350
3,3-Aug-94,73735,-5182.36,Automatic payment of bills,81
