PURCHASEORDERID,EMPLOYEEID,MANUFACTURERID,TOTALLIST,SHIPPINGCOST,DISCOUNT,ORDERDATE,RECEIVEDATE,AMOUNTDUE
582,22343,17,899.57,20,18.04,1-Sep-96,1-Sep-96,901.53
583,73735,18,26119.75,20,210.6,1-Sep-96,8-Sep-96,25929.15
584,88873,29,1986.45,20,77.09,1-Sep-96,9-Sep-96,1929.36
585,88873,33,23340.66,20,536.55,1-Sep-96,17-Sep-96,22824.11
586,22343,34,18835.3,20,533.06,1-Sep-96,1-Sep-96,18322.24
587,89097,2,65314.33,20,1987.09,1-Oct-96,6-Oct-96,63347.24
588,22343,3,18855.45,20,152.27,1-Oct-96,8-Oct-96,18723.18
589,87295,4,1218.6,20,19.69,1-Oct-96,16-Oct-96,1218.91
590,29387,5,4340.52,20,104.98,1-Oct-96,17-Oct-96,4255.54
591,88873,6,4936.99,20,62.27,1-Oct-96,15-Oct-96,4894.72
592,73735,8,8036.43,20,122.12,1-Oct-96,17-Oct-96,7934.31
593,29387,9,1207,20,3.77,1-Oct-96,19-Oct-96,1223.23
594,89097,10,544.64,20,13.58,1-Oct-96,15-Oct-96,551.06
595,29387,11,3084.39,20,38.1,1-Oct-96,10-Oct-96,3066.29
596,87295,12,1518.48,20,24.62,1-Oct-96,20-Oct-96,1513.86
597,88873,15,3221.28,20,80.19,1-Oct-96,3-Oct-96,3161.09
598,22343,16,5457.66,20,233.73,1-Oct-96,7-Oct-96,5243.93
599,73735,17,728.25,20,10.95,1-Oct-96,3-Oct-96,737.3
600,29387,18,20308.34,20,427.18,1-Oct-96,10-Oct-96,19901.16
601,51512,29,1578.83,20,66.9,1-Oct-96,2-Oct-96,1531.93
602,73735,33,25073.46,20,599.06,1-Oct-96,19-Oct-96,24494.4
603,29387,34,15889.69,20,482.14,1-Oct-96,17-Oct-96,15427.55
604,15293,2,63739.6,20,3046.19,1-Nov-96,10-Nov-96,60713.41
605,29387,3,16095.85,20,489.35,1-Nov-96,14-Nov-96,15626.5
606,87295,4,1641.51,20,50.48,1-Nov-96,7-Nov-96,1611.03
607,29387,5,4612.86,20,76.9,1-Nov-96,14-Nov-96,4555.96
608,88873,6,5320.63,20,71.4,1-Nov-96,8-Nov-96,5269.23
609,88873,8,6888.03,20,40.34,1-Nov-96,18-Nov-96,6867.69
610,88873,9,517.68,20,0.27,1-Nov-96,8-Nov-96,537.41
611,51512,10,537.12,20,16.14,1-Nov-96,17-Nov-96,540.98
612,73735,11,3500.18,20,40.85,1-Nov-96,5-Nov-96,3479.33
613,29387,12,1312.96,20,38.38,1-Nov-96,10-Nov-96,1294.58
614,51512,15,3790.55,20,4.99,1-Nov-96,10-Nov-96,3805.56
615,29387,16,5427.96,20,197.07,1-Nov-96,11-Nov-96,5250.89
616,22343,17,951.02,20,33.51,1-Nov-96,9-Nov-96,937.51
617,51512,18,25074.06,20,960.88,1-Nov-96,11-Nov-96,24133.18
618,51512,29,1758.3,20,27.41,1-Nov-96,7-Nov-96,1750.89
619,87295,33,23660.59,20,577.73,1-Nov-96,1-Nov-96,23102.86
620,88873,34,19267.25,20,179.11,1-Nov-96,17-Nov-96,19108.14
621,29387,2,74638.23,20,774.42,1-Dec-96,7-Dec-96,73883.81
622,73735,3,18353.31,20,399.25,1-Dec-96,15-Dec-96,17974.06
623,51512,4,997.92,20,17.35,1-Dec-96,9-Dec-96,1000.57
624,87295,5,5289.16,20,61.38,1-Dec-96,1-Dec-96,5247.78
625,22343,6,5732.66,20,116.3,1-Dec-96,10-Dec-96,5636.36
626,87295,8,8712.51,20,410.9,1-Dec-96,18-Dec-96,8321.61
627,73735,9,1092.6,20,7.72,1-Dec-96,18-Dec-96,1104.88
628,29387,10,560,20,19.14,1-Dec-96,20-Dec-96,560.86
629,51512,11,3666.76,20,65.49,1-Dec-96,11-Dec-96,3621.27
630,29387,12,1356.77,20,6.41,1-Dec-96,2-Dec-96,1370.36
631,87295,15,4101.83,20,20.58,1-Dec-96,1-Dec-96,4101.25
632,89097,16,3991.48,20,84.53,1-Dec-96,13-Dec-96,3926.95
633,22343,17,891.69,20,42.77,1-Dec-96,15-Dec-96,868.92
634,51512,18,27390.77,20,1330.3,1-Dec-96,15-Dec-96,26080.47
635,51512,29,1872.4,20,51.93,1-Dec-96,10-Dec-96,1840.47
636,89097,33,24927.51,20,457.31,1-Dec-96,5-Dec-96,24490.2
637,73735,34,16342.5,20,460.53,1-Dec-96,5-Dec-96,15901.97
638,87295,2,62913.85,20,2451.81,1-Jan-97,4-Jan-97,60482.04
639,73735,3,18113.41,20,801.4,1-Jan-97,1-Jan-97,17332.01
640,88873,4,1598.16,20,1.19,1-Jan-97,14-Jan-97,1616.97
641,87295,5,4449.34,20,151.8,1-Jan-97,6-Jan-97,4317.54
642,22343,6,5153.16,20,177.3,1-Jan-97,4-Jan-97,4995.86
643,22343,8,9061.16,20,373.89,1-Jan-97,9-Jan-97,8707.27
644,22343,9,1068.62,20,28.15,1-Jan-97,15-Jan-97,1060.47
645,87295,10,374.51,20,4.52,1-Jan-97,1-Jan-97,389.99
646,73735,11,3342.09,20,13.7,1-Jan-97,5-Jan-97,3348.39
647,15293,12,1734.2,20,69.68,1-Jan-97,14-Jan-97,1684.52
648,22343,15,3402.98,20,55.16,1-Jan-97,20-Jan-97,3367.82
649,73735,16,6071.14,20,230.43,1-Jan-97,5-Jan-97,5860.71
650,51512,17,861.96,20,23.89,1-Jan-97,19-Jan-97,858.07
651,87295,18,22062.16,20,679.31,1-Jan-97,8-Jan-97,21402.85
652,73735,29,1826.63,20,89.09,1-Jan-97,9-Jan-97,1757.54
653,73735,33,20683.09,20,211.03,1-Jan-97,7-Jan-97,20492.06
654,73735,34,18661.37,20,484.49,1-Jan-97,17-Jan-97,18196.88
655,22343,2,55343.56,20,2531.52,1-Feb-97,11-Feb-97,52832.04
656,88873,3,12448.72,20,554.86,1-Feb-97,11-Feb-97,11913.86
657,22343,4,3540.32,20,155.24,1-Feb-97,13-Feb-97,3405.08
658,51512,5,3364.9,20,6.11,1-Feb-97,19-Feb-97,3378.79
659,29387,6,3443.92,20,90.79,1-Feb-97,12-Feb-97,3373.13
660,87295,8,4090.5,20,135.61,1-Feb-97,12-Feb-97,3974.89
661,89097,9,3816.56,20,96.92,1-Feb-97,4-Feb-97,3739.64
662,73735,10,439.8,20,4.86,1-Feb-97,4-Feb-97,454.94
663,15293,11,2300.58,20,43.3,1-Feb-97,6-Feb-97,2277.28
664,87295,12,425,20,18.77,1-Feb-97,20-Feb-97,426.23
665,87295,14,144,20,2.53,1-Feb-97,16-Feb-97,161.47
666,87295,15,2906.94,20,132.86,1-Feb-97,5-Feb-97,2794.08
667,89097,16,19435.07,20,834.17,1-Feb-97,2-Feb-97,18620.9
668,87295,17,575.93,20,12.03,1-Feb-97,5-Feb-97,583.9
669,15293,18,13087.8,20,554.17,1-Feb-97,13-Feb-97,12553.63
670,88873,19,1711.06,20,26.32,1-Feb-97,20-Feb-97,1704.74
671,73735,22,100.5,20,0.47,1-Feb-97,20-Feb-97,120.03
672,73735,29,913.42,20,27.12,1-Feb-97,5-Feb-97,906.3
673,51512,30,1206.48,20,58.06,1-Feb-97,2-Feb-97,1168.42
674,22343,33,16917.47,20,278.63,1-Feb-97,1-Feb-97,16658.84
675,88873,34,19755.68,20,341.67,1-Feb-97,17-Feb-97,19434.01
