"CUSTOMERID","TRANSACTIONDATE","EMPLOYEEID","AMOUNT","DESCRIPTION","REFERENCE"
194,08-JUL-94,46583,-1427.88,"Single/final payment for purchase",332
195,25-MAR-94,46583,-1836.3,"Single/final payment for purchase",216
195,18-FEB-94,89097,1836.27,"Order was shipped",216
196,21-JUL-94,89097,-235,"Monthly payment #4",345
196,20-OCT-94,29387,-235,"Monthly payment #7",345
196,19-SEP-94,29387,-235,"Monthly payment #6",345
196,21-AUG-94,46583,-235,"Monthly payment #5",345
196,21-MAY-94,29387,-235,"Monthly payment #2",345
196,23-JUN-94,15293,-235,"Monthly payment #3",345
196,20-FEB-94,15293,1747.38,"Order was shipped",345
196,21-APR-94,51512,-337.38,"Monthly payment #1",345
197,26-SEP-94,89097,1318,"Order was shipped",276
197,28-OCT-94,15293,-1318,"Single/final payment for purchase",276
199,23-MAR-94,87295,1855,"Order was shipped",171
199,25-APR-94,29387,-1855,"Single/final payment for purchase",171
200,24-DEC-94,87295,1448,"Order was shipped",348
200,12-FEB-03,98766,-2253.59,"Single/final payment for purchase",21906
200,23-JAN-95,29387,-1448,"Single/final payment for purchase",348
200,14-JAN-03,51512,2253.6,"Order was shipped",21906
204,25-NOV-97,51512,-2883,"Single/final payment for purchase",4350
204,01-MAY-94,87295,2721.25,"Order was shipped",890
204,08-JUL-94,51512,-1360.63,"Monthly payment #1",890
204,03-AUG-94,51512,-1360.62,"Monthly payment #2",890
204,15-AUG-94,29387,3470,"Order was shipped",212
204,19-SEP-94,51512,-3462,"Single/final payment for purchase",212
204,26-OCT-97,15293,2875,"Order was shipped",4350
205,05-NOV-94,29387,-2695,"Single/final payment for purchase",124
205,01-OCT-94,51512,2695,"Order was shipped",124
207,02-JUL-94,87295,1270,"Order was shipped",51
207,04-AUG-94,29387,-1270,"Single/final payment for purchase",51
209,26-OCT-94,89097,1570,"Order was shipped",116
209,28-NOV-94,29387,-1570,"Single/final payment for purchase",116
210,14-JAN-95,46583,-623.33,"Monthly payment #2",118
210,18-FEB-95,51512,-623.34,"Monthly payment #3",118
210,19-DEC-94,15293,-623.33,"Monthly payment #1",118
210,14-OCT-94,29387,1870,"Order was shipped",118
212,24-SEP-94,89097,-234,"Monthly payment #5",79
212,28-DEC-94,51512,-3552.4,"Single/final payment for purchase",959
212,25-DEC-94,51512,-234,"Monthly payment #8",79
212,27-NOV-94,29387,3552.4,"Order was shipped",959
212,25-NOV-94,29387,-2481.8,"Single/final payment for purchase",855
212,24-NOV-94,51512,-234,"Monthly payment #7",79
212,29-OCT-94,15293,-234,"Monthly payment #6",79
212,22-OCT-94,51512,2481.8,"Order was shipped",855
