"MANUFACTURERID","TRANSACTIONDATE","EMPLOYEEID","AMOUNT","DESCRIPTION","REFERENCE"
3,17-OCT-02,15293,6048.03,"Automatic EOQ Inventory purchase",8604
3,15-OCT-02,22343,-8135.54,"Automatic payment of bills",8018
3,06-OCT-02,89097,-11940.87,"Automatic payment of bills",8581
3,26-SEP-02,15293,-8603.75,"Automatic payment of bills",7993
3,25-SEP-02,22343,8135.54,"Automatic EOQ Inventory purchase",8018
3,08-SEP-02,87295,-11184.16,"Automatic payment of bills",8558
3,05-SEP-02,51512,11940.87,"Automatic EOQ Inventory purchase",8581
3,05-NOV-02,88873,7394.36,"Automatic EOQ Inventory purchase",8626
3,13-AUG-02,73735,-10781.83,"Automatic payment of bills",7968
3,20-NOV-02,15293,-6048.03,"Automatic payment of bills",8604
3,09-AUG-02,87295,-7649.94,"Automatic payment of bills",8536
3,16-JUL-02,87295,7649.94,"Automatic EOQ Inventory purchase",8536
3,14-JUL-02,29387,10781.83,"Automatic EOQ Inventory purchase",7968
3,11-JUL-02,29387,-5159.98,"Automatic payment of bills",8513
3,03-JUL-02,51512,-11564.62,"Automatic payment of bills",7943
3,30-JUN-02,29387,-8594.7,"Automatic payment of bills",7918
3,18-JUN-02,51512,5159.98,"Automatic EOQ Inventory purchase",8513
3,12-JUN-02,87295,11564.62,"Automatic EOQ Inventory purchase",7943
3,02-SEP-02,51512,8603.75,"Automatic EOQ Inventory purchase",7993
3,30-JAN-03,89097,-12551.43,"Automatic payment of bills",8093
3,07-JUN-02,22343,-7974.43,"Automatic payment of bills",8491
3,01-JUN-03,29387,-16072.68,"Automatic payment of bills",8770
3,10-MAY-03,88873,-13406.47,"Automatic payment of bills",8744
3,07-MAY-03,51512,16072.68,"Automatic EOQ Inventory purchase",8770
3,19-APR-03,88873,-13848.08,"Automatic payment of bills",8719
3,13-APR-03,87295,13406.47,"Automatic EOQ Inventory purchase",8744
3,18-MAR-03,29387,13848.08,"Automatic EOQ Inventory purchase",8719
3,08-MAR-03,15293,-15898.3,"Automatic payment of bills",8694
3,03-NOV-02,73735,10400.59,"Automatic EOQ Inventory purchase",8043
3,02-FEB-03,73735,15898.3,"Automatic EOQ Inventory purchase",8694
3,08-JUL-03,22343,-15464.71,"Automatic payment of bills",8795
3,13-JAN-03,51512,-13041.06,"Automatic payment of bills",8648
3,02-JAN-03,22343,16413.31,"Automatic EOQ Inventory purchase",8670
3,02-JAN-03,88873,12551.43,"Automatic EOQ Inventory purchase",8093
3,02-JAN-03,51512,-11701.97,"Automatic payment of bills",8068
3,11-DEC-02,22343,13041.06,"Automatic EOQ Inventory purchase",8648
3,08-DEC-02,51512,-7394.36,"Automatic payment of bills",8626
3,03-DEC-02,87295,11701.97,"Automatic EOQ Inventory purchase",8068
3,29-NOV-02,87295,-10400.59,"Automatic payment of bills",8043
3,04-FEB-03,51512,-16413.31,"Automatic payment of bills",8670
3,08-JAN-96,29387,-14809.38,"Automatic payment of bills",418
3,14-APR-96,88873,14627.02,"Automatic EOQ Inventory purchase",486
3,12-APR-96,87295,-16930.03,"Automatic payment of bills",469
3,22-MAR-96,73735,-10816,"Automatic payment of bills",452
3,13-MAR-96,22343,16930.03,"Automatic EOQ Inventory purchase",469
3,05-MAR-96,29387,-14809.38,"Automatic payment of bills",418
3,15-FEB-96,88873,10816,"Automatic EOQ Inventory purchase",452
3,09-FEB-96,87295,-18256.96,"Automatic payment of bills",435
3,05-AUG-95,29387,-18671.72,"Automatic payment of bills",333
3,14-JAN-96,87295,18256.96,"Automatic EOQ Inventory purchase",435
3,11-JUN-96,88873,18189.36,"Automatic EOQ Inventory purchase",520
3,26-DEC-95,73735,-14604.76,"Automatic payment of bills",401
3,09-DEC-95,88873,14809.38,"Automatic EOQ Inventory purchase",418
3,18-NOV-95,88873,14604.76,"Automatic EOQ Inventory purchase",401
3,16-NOV-95,88873,-17078.38,"Automatic payment of bills",384
3,20-OCT-95,73735,17078.38,"Automatic EOQ Inventory purchase",384
3,16-OCT-95,22343,-17629.1,"Automatic payment of bills",367
3,17-SEP-95,22343,17629.1,"Automatic EOQ Inventory purchase",367
3,21-MAR-97,15293,-17974.06,"Automatic payment of bills",622
3,06-FEB-96,29387,14809.38,"Automatic refund for overpayment",418
3,01-NOV-96,29387,-18723.18,"Automatic payment of bills",588
3,10-MAR-97,29387,-11913.86,"Automatic payment of bills",656
3,08-MAR-97,87295,11718.03,"Automatic EOQ Inventory purchase",677
3,17-FEB-97,51512,17974.06,"Automatic refund for overpayment",622
3,11-FEB-97,88873,11913.86,"Automatic EOQ Inventory purchase",656
3,29-JAN-97,22343,-17332.01,"Automatic payment of bills",639
3,15-JAN-97,29387,-17974.06,"Automatic payment of bills",622
3,01-JAN-97,73735,17332.01,"Automatic EOQ Inventory purchase",639
3,15-DEC-96,73735,17974.06,"Automatic EOQ Inventory purchase",622
3,13-MAY-96,88873,-14627.02,"Automatic payment of bills",486
3,14-NOV-96,29387,15626.5,"Automatic EOQ Inventory purchase",605
3,16-MAY-96,29387,19892.74,"Automatic EOQ Inventory purchase",503
3,07-OCT-96,51512,-21351.06,"Automatic payment of bills",571
3,06-SEP-96,88873,-17379.06,"Automatic payment of bills",554
3,06-AUG-96,87295,17379.06,"Automatic EOQ Inventory purchase",554
3,28-JUL-96,89097,-16595.2,"Automatic payment of bills",537
3,08-JUL-96,51512,-18189.36,"Automatic payment of bills",520
3,02-JUL-96,73735,16595.2,"Automatic EOQ Inventory purchase",537
3,13-JUN-96,88873,-19892.74,"Automatic payment of bills",503
3,04-AUG-95,51512,17127.67,"Automatic EOQ Inventory purchase",350
3,12-DEC-96,87295,-15626.5,"Automatic payment of bills",605
3,07-JUL-94,89097,5182.36,"Automatic EOQ Inventory purchase",81
3,08-NOV-94,73735,-7011.06,"Automatic payment of bills",131
3,12-OCT-94,73735,-8114.17,"Automatic payment of bills",113
3,11-OCT-94,51512,7011.06,"Automatic EOQ Inventory purchase",131
3,03-OCT-94,87295,-605.5,"Automatic payment of bills",223
3,14-SEP-94,15293,8114.17,"Automatic EOQ Inventory purchase",113
3,06-SEP-94,88873,-8397.43,"Automatic payment of bills",96
