"PURCHASEID","COMPONENTID","PRICEPAID","QUANTITY","QUANTITYRECEIVED"
208,1013000,34.34,3,3
209,1206000,31.09,3,3
210,230,200.11,4,4
211,1504000,78.07,6,6
212,912000,26.1,5,5
213,1013000,34.08,11,11
214,1206000,31.96,9,9
215,230,207.62,3,3
216,1013000,37.24,11,11
217,410,378.28,3,3
218,610,348.42,3,3
219,405000,73.76,3,3
220,910000,35.06,19,19
221,610,366.26,1,1
222,405000,71.47,7,7
223,1412000,204.77,3,3
224,910000,34.72,2,2
225,1704000,259.79,5,5
226,1013000,34.39,1,1
227,1704000,253.87,10,10
228,1704000,257.12,6,6
229,308000,95.23,2,2
230,308000,100.78,7,7
231,308000,92.98,3,3
232,607500,108.67,3,3
232,1605400,91.66,3,3
232,1602000,89.21,3,3
232,1504000,76.86,3,3
232,1303000,10.72,1,1
232,805000,27.68,3,3
232,804000,19.98,3,3
232,706000,12.86,1,1
232,501000,91.16,1,1
232,703000,13.56,2,2
232,1709000,103.03,3,3
232,1702000,111.08,4,4
232,601000,119.78,1,1
232,502000,31.47,3,3
232,405000,75.03,3,3
232,402000,145.95,3,3
232,305000,23.92,3,3
232,302000,25.77,2,2
232,205800,14.55,3,3
232,202000,12.45,2,2
232,104300,33.99,3,3
232,102000,25.64,2,2
232,505000,40.21,3,3
232,604000,55.71,3,3
233,1508000,170.08,1,1
233,1411000,206.68,3,3
234,912000,24.93,2,2
234,901000,48.73,3,3
234,910000,34.04,1,1
235,1801000,16.12,5,5
235,1814000,27.11,1,1
235,1815000,16.47,6,6
236,1704000,262.21,2,2
237,1201000,23.71,2,2
238,1016000,7.26,1,1
238,1103000,10.7,1,1
238,1106000,10.25,1,1
239,1509000,84.38,3,3
240,1002000,28.84,3,3
241,1605000,202.27,1,1
242,1302000,7.44,1,1
243,1401000,230.04,3,3
244,1206000,33.62,3,3
245,220,246.05,1,1
246,540,800.07,1,1
247,704000,13.54,7,7
247,1303000,10.76,56,56
247,806000,15.36,7,7
247,805000,27.95,14,14
247,804500,19.24,19,19
247,804000,19.15,27,27
247,706000,13.19,47,47
247,1601000,85.01,4,4
247,703000,12.46,15,15
247,701000,29.27,9,9
247,607500,99.77,13,13
247,606500,43.91,7,7
247,801000,28.45,9,9
247,1510000,115.09,9,9
247,1602000,92.59,26,26
247,1603000,57.87,18,18
247,1605400,89.86,13,13
247,1605600,37.99,7,7
247,1701110,115.79,3,3
247,1702000,118.2,25,25
247,1703000,72.28,19,19
247,1709000,109.7,13,13
247,1711000,46.13,7,7
247,303000,19.43,19,19
247,605000,50.26,19,19
247,1504000,74.72,13,13
247,301000,56.47,8,8
247,101000,51.85,9,9
247,102000,25.52,46,46
247,103500,16.5,6,6
247,104000,30.49,20,20
247,104300,32.77,14,14
247,201000,30.47,9,9
247,202000,13.39,29,29
247,203000,12.1,19,19
247,305000,24.71,14,14
247,205800,13.68,14,14
247,604000,55.24,26,26
247,302000,24.83,28,28
247,502000,31.65,27,27
247,601000,114.37,8,8
247,505000,38.43,14,14
247,204800,11.19,6,6
